fechamento_5m;par;preco_fechamento;rsi2;faixa;max_15m;min_15m;tamanho_15m_pct;setor;sinal;preco_alvo;latencia_ms
2026-09-16 19:25;LINKUSDT;10.863;22.14;;10.919;10.854;0.5989;C;;;216
2026-09-16 19:25;BTCUSDT;75661.9;17.80;;75900.6;75646.7;0.3356;C;;;317
2026-09-16 19:25;ETHUSDT;2392.79;29.81;;2401.18;2391.69;0.3968;C;;;566
2026-09-16 19:25;XRPUSDT;1.2812;19.42;;1.2897;1.2804;0.7263;C;;;980
2026-09-16 19:25;SOLUSDT;97.72;29.27;;98.21;97.66;0.5632;C;;;981
2026-09-16 19:25;LTCUSDT;51.1;25.66;;51.29;51.06;0.4505;C;;;981
2026-09-16 19:25;BNBUSDT;719.33;26.06;;721.33;719.12;0.3073;C;;;983
2026-09-16 19:25;DOGEUSDT;0.0799;17.87;;0.08048;0.07987;0.7637;C;;;984
2026-09-16 19:30;DOGEUSDT;0.07996;34.69;;0.08048;0.07987;0.7637;C;;;239
2026-09-16 19:30;XRPUSDT;1.2823;40.66;;1.2897;1.2804;0.7263;C;;;243
2026-09-16 19:30;BTCUSDT;75720.6;48.81;;75900.6;75646.7;0.3356;C;;;723
2026-09-16 19:30;LTCUSDT;51.05;15.93;;51.29;51.05;0.4701;C;;;946
2026-09-16 19:30;SOLUSDT;97.75;40.20;;98.21;97.66;0.5632;C;;;951
2026-09-16 19:30;ETHUSDT;2393.31;40.34;;2401.18;2391.69;0.3968;C;;;953
2026-09-16 19:30;BNBUSDT;719.84;59.60;;721.33;719.12;0.3073;B;;;953
2026-09-16 19:30;LINKUSDT;10.873;46.75;;10.919;10.854;0.5989;C;;;953
2026-09-16 19:35;SOLUSDT;97.55;13.14;;97.75;97.54;0.2153;C;;;495
2026-09-16 19:35;BNBUSDT;719.4;33.43;;719.84;719.33;0.0709;C;;;496
2026-09-16 19:35;XRPUSDT;1.282;35.55;;1.2828;1.2806;0.1718;B;;;496
2026-09-16 19:35;BTCUSDT;75655.3;26.54;;75720.6;75655.3;0.0863;C;;;496
2026-09-16 19:35;ETHUSDT;2391.37;19.03;;2393.31;2391.0;0.0966;C;;;839
2026-09-16 19:35;LINKUSDT;10.874;49.92;;10.884;10.865;0.1749;B;;;1274
2026-09-16 19:35;DOGEUSDT;0.07992;27.25;;0.07997;0.07987;0.1252;B;;;1374
2026-09-16 19:35;LTCUSDT;50.96;6.74;;51.05;50.95;0.1963;C;;;1518
2026-09-16 19:40;DOGEUSDT;0.08009;74.23;;0.0801;0.07987;0.2880;A;;;258
2026-09-16 19:40;BTCUSDT;75741.6;66.70;;75741.6;75622.7;0.1572;A;;;258
2026-09-16 19:40;BNBUSDT;720.12;72.68;;720.12;719.33;0.1098;A;;;258
2026-09-16 19:40;ETHUSDT;2395.78;76.19;;2395.9;2390.63;0.2204;A;;;439
2026-09-16 19:40;XRPUSDT;1.2864;86.25;;1.2865;1.2806;0.4607;A;;;440
2026-09-16 19:40;LTCUSDT;50.94;5.36;;51.05;50.88;0.3341;B;;;440
2026-09-16 19:40;LINKUSDT;10.893;84.63;;10.893;10.865;0.2577;A;;;1041
2026-09-16 19:40;SOLUSDT;97.62;40.96;;97.75;97.5;0.2564;B;;;1041
2026-09-16 19:45;ETHUSDT;2397.14;83.41;;2397.15;2390.63;0.2727;A;;;349
2026-09-16 19:45;BNBUSDT;720.18;75.13;;720.18;719.33;0.1182;A;;;354
2026-09-16 19:45;LINKUSDT;10.918;94.56;ACIMA;10.921;10.865;0.5154;A;X;10,973;640
2026-09-16 19:45;SOLUSDT;97.6;34.62;;97.75;97.5;0.2564;B;;;1214
2026-09-16 19:45;DOGEUSDT;0.08017;83.97;;0.08018;0.07987;0.3881;A;;;1509
2026-09-16 19:45;XRPUSDT;1.2875;90.13;ACIMA;1.2875;1.2806;0.5388;A;X;1,2939;1695
2026-09-16 19:45;BTCUSDT;75782.7;78.10;;75782.7;75622.7;0.2116;A;;;1737
2026-09-16 19:45;LTCUSDT;51.06;72.57;;51.08;50.88;0.3931;A;;;3184
2026-09-16 19:55;DOGEUSDT;0.07994;19.49;;0.08022;0.07988;0.4256;C;;;293
2026-09-16 19:55;LINKUSDT;10.881;26.39;;10.928;10.875;0.4874;C;;;319
2026-09-16 19:55;BNBUSDT;718.97;12.08;;720.3;718.72;0.2198;C;;;360
2026-09-16 19:55;XRPUSDT;1.2849;29.52;;1.2886;1.284;0.3583;C;;;681
2026-09-16 19:55;ETHUSDT;2390.46;16.47;;2397.83;2390.19;0.3196;C;;;683
2026-09-16 19:55;SOLUSDT;97.47;8.79;;97.66;97.37;0.2978;B;;;781
2026-09-16 19:55;BTCUSDT;75626.0;16.78;;75793.1;75610.0;0.2422;C;;;890
2026-09-16 19:55;LTCUSDT;50.97;26.15;;51.1;50.94;0.3141;C;;;3268
2026-09-16 20:00;SOLUSDT;97.43;5.40;;97.66;97.37;0.2978;C;;;332
2026-09-16 20:00;XRPUSDT;1.2857;54.17;;1.2886;1.284;0.3583;B;;;335
2026-09-16 20:00;BTCUSDT;75647.1;36.09;;75793.1;75610.0;0.2422;C;;;348
2026-09-16 20:00;LINKUSDT;10.881;26.39;;10.928;10.875;0.4874;C;;;428
2026-09-16 20:00;BNBUSDT;719.36;49.70;;720.3;718.72;0.2198;B;;;469
2026-09-16 20:00;DOGEUSDT;0.07994;19.49;;0.08022;0.07988;0.4256;C;;;612
2026-09-16 20:00;ETHUSDT;2391.22;34.12;;2397.83;2390.06;0.3251;C;;;613
2026-09-16 20:00;LTCUSDT;50.96;22.34;;51.1;50.94;0.3141;C;;;3260
2026-09-16 20:05;XRPUSDT;1.2874;81.57;;1.2878;1.2841;0.2881;A;;;252
2026-09-16 20:05;BTCUSDT;75697.7;69.75;;75711.8;75608.8;0.1362;A;;;343
2026-09-16 20:05;SOLUSDT;97.5;59.75;;97.51;97.32;0.1952;A;;;361
